,Manufacturer,Model,Price,Transmission,Power,Engine_CC,Fuel,Male,Female,Gender_Unclassified,Total
0,Abarth,500C,21.105625,5.0,60.625,1039.5,petrol,7124,4719,570,12413
1,Alfa-Romeo,145,17.42714286,5.0,87.71428571,1696.4285710000001,petrol,29993,11855,2186,44034
2,Alfa-Romeo,146,18.19842857,5.0,87.71428571,1696.4285710000001,petrol,40928,14231,2969,58128
3,Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,petrol,149499,83501,13278,246278
4,Alfa-Romeo,155,23.90933333,5.0,100.66666670000001,2016.7777780000001,petrol,28860,4422,1191,34473
5,Alfa-Romeo,156,32.898125,5.333333333,116.29166670000001,2081.375,petrol,287571,66864,17108,371543
6,Alfa-Romeo,159,43.26150943,5.905660377,135.37735849999999,2276.0,diesel,30455,4612,1760,36827
7,Alfa-Romeo,164,38.39725,4.75,131.0,2652.375,petrol,43294,5556,2193,51043
8,Alfa-Romeo,166,43.89111111,5.666666667,130.5555556,2457.555556,petrol,17500,2098,982,20580
9,Alfa-Romeo,33,13.818,5.0,66.0,1351.0,petrol,42856,11905,2030,56791
10,Alfa-Romeo,Brera,53.10142857,6.0,163.71428569999998,2679.285714,petrol,10895,2031,672,13598
11,Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,petrol,33586,7483,2033,43102
12,Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,49495,18831,4340,72666
13,Aston-Martin,DB7,158.82299999999998,4.5,250.0,3228.0,petrol,26029,2420,1359,29808
14,Aston-Martin,DB9,273.755,6.0,381.0,5935.0,petrol,24625,1989,930,27544
15,Aston-Martin,Vantage,360.755,6.0,410.0,5341.0,petrol,25375,2035,971,28381
16,Audi,100,37.32636,4.76,101.12,2349.08,petrol,290434,55293,13677,359404
17,Audi,200,38.66975,4.3,95.65,2027.9,petrol,4991,727,150,5868
18,Audi,80,27.09825,4.666666667,91.75,2247.333333,petrol,753132,180987,37079,971198
19,Audi,90,28.379,4.6,91.6,2181.2,petrol,75686,15468,3035,94189
20,Audi,A1,27.08277108,6.2289156629999995,86.63855422,1377.566265,petrol,35748,55075,4151,94974
21,Audi,A2,23.0525,5.0,55.0,1406.0,petrol,87432,91257,13285,191974
22,Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,998800,649367,103368,1751535
23,Audi,A4,57.92693548,6.161290322999999,149.7096774,2283.112903,petrol,2092276,590478,142309,2825063
24,Audi,A5,59.43242424,7.0,150.4545455,1981.818182,petrol,107675,26218,6401,140294
25,Audi,A6,82.06090909,7.727272727000001,199.7272727,2790.454545,diesel,782345,140270,52441,975056
26,Audi,A7,87.12,8.0,190.0,2967.0,diesel,7068,745,291,8104
27,Audi,A8,116.545,8.0,230.0,2981.0,petrol,72380,5832,4078,82290
28,Audi,Cabriolet,43.9745,4.5,98.0,2309.0,petrol,67299,29000,4709,101008
29,Audi,Coupe,35.86943902,5.585365854,117.0243902,1980.634146,petrol,124996,22526,5223,152745
30,Audi,Q5,64.50769231,6.846153846,144.23076919999997,2048.538462,diesel,35621,18904,2953,57478
31,Audi,Q7,106.5488889,8.0,210.0,2976.333333,diesel,60174,20021,4182,84377
32,Audi,Quattro,61.235,5.0,147.0,2144.0,petrol,18695,1899,685,21279
33,Audi,R8,226.3833333,6.5,368.6666667,4857.0,petrol,7623,567,376,8566
34,Audi,RS4,121.77,6.666666667,316.3333333,3740.0,petrol,20456,1927,886,23269
35,Audi,RS6,175.835,7.0,433.5,4493.5,petrol,6999,588,318,7905
36,Audi,S3,60.87,6.75,228.0,1984.0,petrol,57406,11651,2938,71995
37,Audi,S4,95.29916667,6.333333333,253.66666669999998,3764.333333,petrol,38115,5359,1762,45236
38,Audi,S5,105.465,8.0,257.5,2981.0,petrol,9004,1321,529,10854
39,Audi,TT,64.59222222,6.777777778,178.5555556,2011.5555559999998,petrol,387738,265557,44958,698253
40,BMW,118i,37.4265,6.2,104.2,1796.6,petrol,454389,393075,51930,899394
41,BMW,320i,47.84837037,6.444444444,126.1111111,1995.7777780000001,petrol,6213366,2090926,429229,8733521
42,BMW,535i,93.71425,8.0,225.0,2979.0,petrol,2324987,381963,133030,2839980
43,BMW,640i,114.87583329999998,8.0,235.0,2979.0,petrol,97382,15233,4766,117381
44,BMW,740i,115.53299999999999,8.0,250.0,2998.0,petrol,395136,44830,20807,460773
45,BMW,850i,111.993,5.0,220.0,4988.0,petrol,18268,1932,820,21020
46,BMW,M135i,57.97,7.0,225.0,1998.0,petrol,1492,217,73,1782
47,BMW,M3,135.1055,6.5,309.0,3999.0,petrol,195734,21255,8187,225176
48,BMW,M550i,134.789,8.0,390.0,4395.0,petrol,46736,3198,1834,51768
49,BMW,X1,51.44133333,7.2,123.93333329999999,1863.1333329999998,diesel,27311,18264,3196,48771
50,BMW,X3,76.5922,8.0,184.0,2396.4,petrol,125816,81558,12823,220197
51,BMW,X5,113.26933329999999,8.0,246.33333330000002,2994.666667,diesel,358146,112083,23085,493314
52,BMW,X6,125.49625,8.0,282.25,3344.75,petrol,15368,3560,896,19824
53,BMW,Z3,39.7374,4.6,115.0,2234.4,petrol,155627,107143,18040,280810
54,BMW,Z4,64.109625,6.75,202.125,2778.0,petrol,126746,59357,12615,198718
55,Bentley,Continental,285.247,7.2,428.2,5577.8,petrol,52397,6055,2569,61021
56,Chevrolet,Aveo,18.615,5.2,69.6,1330.4,petrol,23735,22648,2313,48696
57,Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,20258,10526,1622,32406
58,Chevrolet,Cruze,28.17,5.583333333,103.0,1706.3333329999998,petrol,8445,2509,522,11476
59,Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,petrol,46461,47446,4964,98871
60,Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.9285710000001,petrol,53183,24629,3808,81620
61,Chevrolet,Matiz,9.492272727000001,4.909090909,40.81818182,850.2727273,petrol,61330,103972,9381,174683
62,Chevrolet,Orlando,33.43590909,5.6363636360000005,108.3636364,1906.181818,diesel,1096,461,119,1676
63,Chevrolet,Spark,11.395,5.0,52.5,1047.75,petrol,13180,17999,1857,33036
64,Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.7777780000001,petrol,23742,13858,2208,39808
65,Chrysler,300C,70.31925,4.5,199.0,4123.5,petrol,40820,4786,1390,46996
66,Chrysler,Crossfire,56.15916667,5.5,174.33333330000002,3199.0,petrol,20509,10409,1453,32371
67,Chrysler,Neon,19.71783333,4.0,98.0,1995.0,petrol,119470,52926,8772,181168
68,Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,petrol,120175,77026,11004,208205
69,Chrysler,Sebring,37.471875,5.5,114.5,2167.5,petrol,7865,2375,429,10669
70,Chrysler,Voyager,39.70773684,4.8421052630000005,117.57894740000002,2719.842105,diesel,230532,108197,17930,356659
71,Citroen,AX,10.83275,5.0,45.0,1242.0,petrol,806179,1003614,75262,1885055
72,Citroen,Berlingo,27.4386,6.34,85.28,1452.0,diesel,328410,143618,21238,493266
73,Citroen,C-Crosser,35.72526667,4.4,121.0,2287.6,petrol,7195,2955,392,10542
74,Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,petrol,143337,243741,17434,404512
75,Citroen,C2,15.14,5.0,64.0,1382.75,petrol,183287,241381,17092,441760
76,Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,petrol,537611,697918,60987,1296516
77,Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,395423,198469,24514,618406
78,Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,diesel,380415,71677,17852,469944
79,Citroen,C8,45.59125,5.25,104.16666670000001,2027.8333329999998,petrol,47525,24630,3637,75792
80,Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,petrol,30014,34657,2376,67047
81,Citroen,DS4,31.1275,5.75,105.25,1688.25,petrol,3813,1708,203,5724
82,Citroen,DS5,42.55733333,6.0,123.26666670000002,1832.3333329999998,diesel,882,160,39,1081
83,Citroen,Nemo,13.44125,5.0,54.5,1304.0,petrol,6682,3439,475,10596
84,Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,1158309,1321464,94721,2574494
85,Citroen,XM,36.35965,4.55,110.5,2345.1,petrol,126129,18292,5782,150203
86,Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,petrol,954135,212523,48332,1214990
87,Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.4418600000001,petrol,1972452,1093968,124152,3190572
88,Citroen,ZX,16.05676923,4.923076923,67.0,1703.1538460000002,petrol,973176,484226,70037,1527439
89,Dacia,Duster,20.75666667,5.666666667,89.33333333,1332.0,petrol,4708,2180,195,7083
90,Dacia,Sandero,14.04,5.0,66.0,898.0,petrol,4395,3269,209,7873
91,Daewoo,Espero,16.80266667,4.5,71.0,1764.0,petrol,106093,27005,4702,137800
92,Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,236181,187630,23352,447163
93,Daewoo,Leganza,23.245,4.5,98.0,1998.0,petrol,75504,18038,4046,97588
94,Daewoo,Nexia,12.47666667,4.666666667,58.66666667,1498.0,petrol,181465,105168,12889,299522
95,Daihatsu,Applause,15.6985,4.5,73.0,1590.0,petrol,12302,5010,723,18035
96,Daihatsu,Copen,23.8115,5.0,64.0,1298.0,petrol,4061,9639,1123,14823
97,Daihatsu,Move,12.924000000000001,4.0,43.0,989.0,petrol,9304,10246,1185,20735
98,Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,petrol,57284,72172,6783,136239
99,Daihatsu,Terios,26.19775,4.625,77.0,1495.0,petrol,59963,60281,6055,126299
100,Daimler,3.6,71.602,4.0,149.0,3590.0,petrol,15090,1907,571,17568
101,Daimler,4,92.79799999999999,4.0,166.0,3980.0,petrol,8072,920,416,9408
102,Daimler,Double,106.82,4.0,234.0,5993.0,petrol,6286,694,384,7364
103,Datsun,Cherry,8.400222222,4.333333333,44.55555556,1350.0,petrol,53275,34337,2070,89682
104,Datsun,Stanza,9.58,4.5,61.66666667,1668.333333,petrol,35958,12479,1093,49530
105,Datsun,Sunny,11.81928571,4.619047619,56.85714286,1520.952381,petrol,97030,43091,3074,143195
106,Dodge,Caliber,26.59125,4.125,108.625,1911.75,petrol,25157,12424,1306,38887
107,Dodge,Journey,37.773,5.555555556,114.0,2184.0,diesel,4320,2061,271,6652
108,Dodge,Nitro,47.881,5.1111111110000005,141.4444444,3106.666667,diesel,8709,2946,456,12111
109,Ferrari,360,200.19825,6.0,294.0,3586.0,petrol,5057,298,214,5569
110,Ferrari,F430,260.28700000000003,6.0,360.0,4308.0,petrol,5229,230,183,5642
111,Fiat,126,3.781,4.0,18.0,652.0,petrol,20184,29361,1389,50934
112,Fiat,127,6.239,5.0,37.0,1049.0,petrol,5473,4722,241,10436
113,Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,104814,294060,25451,424325
114,Fiat,Barchetta,28.295,5.0,96.0,1747.0,petrol,7948,2995,649,11592
115,Fiat,Brava,17.22277778,4.8888888889999995,70.0,1615.333333,petrol,420852,259085,33215,713152
116,Fiat,Bravo,22.455,6.0,92.30769231,1466.307692,petrol,266650,179550,20612,466812
117,Fiat,Cinquecento,7.712000000000001,5.0,29.0,899.0,petrol,201746,317663,25731,545140
118,Fiat,Croma,34.33029412,5.5882352939999995,105.0,1962.0588239999997,diesel,38725,8554,1124,48403
119,Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,diesel,94590,33783,5678,134051
120,Fiat,Idea,20.31264706,5.352941176,63.29411765,1344.823529,diesel,15743,12565,1504,29812
121,Fiat,Marea,20.1241875,4.875,79.875,1836.875,petrol,168880,56386,9621,234887
122,Fiat,Multipla,25.2075,5.0,80.5,1753.0,petrol,94956,58350,9398,162704
123,Fiat,Panda,10.42388889,5.0,52.44444444,1095.777778,petrol,470026,590655,47511,1108192
124,Fiat,Qubo,16.695,5.0,54.0,1360.0,petrol,4682,2632,335,7649
125,Fiat,Regata,12.73581818,4.6363636360000005,54.0,1559.181818,petrol,44189,14022,1254,59465
126,Fiat,Sedici,21.91166667,4.666666667,88.0,1586.0,petrol,8753,7669,853,17275
127,Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,163215,295601,23381,482197
128,Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,petrol,227526,126247,15474,369247
129,Fiat,Strada,14.275,5.0,70.0,1997.0,diesel,21308,10855,786,32949
130,Fiat,Tempra,17.91985714,4.19047619,64.47619048,1759.1904760000002,petrol,119650,34333,4858,158841
131,Fiat,Tipo,23.585,5.8125,80.8125,1446.125,diesel,353506,196744,21546,571796
132,Fiat,Ulysse,36.70125,4.875,91.75,2019.75,petrol,73932,29847,5264,109043
133,Fiat,Uno,11.28285714,4.285714286,49.28571429,1337.714286,petrol,705268,717969,51713,1474950
134,Ford,B-MAX,22.91875,5.25,75.5,1288.5,petrol,5748,4000,206,9954
135,Ford,C-MAX,32.1815,6.0,99.0,1448.6,petrol,95065,52751,5326,153142
136,Ford,Capri,11.7129,4.0,69.0,1864.8,petrol,290857,54211,5201,350269
137,Ford,Cougar,32.11766667,4.666666667,115.33333329999999,2362.0,petrol,107201,31137,5784,144122
138,Ford,Escort,16.20874359,4.461538462,63.56410256,1650.2051279999998,petrol,10937297,5357916,486565,16781778
139,Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,petrol,11596040,12760305,876752,25233097
140,Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,6407597,3355129,408615,10171341
141,Ford,Fusion,19.37890909,4.8636363639999995,61.27272727,1470.909091,petrol,381792,288070,26610,696472
142,Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,834988,351869,63281,1250138
143,Ford,Granada,18.84548718,4.076923077,87.07692308,2326.3589739999998,petrol,1629769,239159,35658,1904586
144,Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,1332915,3511095,249023,5093033
145,Ford,Maverick,29.151,5.0,89.0,2526.5,petrol,165321,56845,8712,230878
146,Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,8254266,1818587,340635,10413488
147,Ford,Mustang,74.609,3.2,239.2,3640.2,petrol,7648,670,183,8501
148,Ford,Orion,15.40377778,5.0,60.11111111,1593.111111,petrol,2108942,701417,56428,2866787
149,Ford,Probe,24.84,5.0,102.0,2244.0,petrol,122222,35593,5684,163499
150,Ford,Puma,30.3775,6.3125,94.0625,935.625,petrol,240758,353227,36295,630280
151,Ford,S-MAX,47.52333333,6.0,128.88888889999998,1886.5555559999998,diesel,132037,72046,8874,212957
152,Ford,Scorpio,30.86290909,4.454545455,105.54545449999999,2458.909091,petrol,230908,33255,8637,272800
153,Ford,Sierra,18.2955625,4.875,70.25,1836.5,petrol,5027395,1083778,118045,6229218
154,Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,21692,110187,7496,139375
155,Ford,Transit,31.46033929,6.011904762,93.93452381,2037.2738100000001,diesel,902,333,43,1278
156,Honda,Accord,39.39984314,5.784313725,117.70588240000001,2151.647059,petrol,1806354,429940,125014,2361308
157,Honda,CR-Z,27.12333333,6.0,101.0,1497.0,petrol,5734,3388,602,9724
158,Honda,CRX,28.735,4.666666667,100.66666670000001,1590.0,petrol,11114,6064,909,18087
159,Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,3600760,2236102,317657,6154519
160,Honda,Concerto,16.67175,4.5,74.0,1541.5,petrol,181679,82256,13547,277482
161,Honda,FR-V,33.12857143,5.285714286,103.0,1914.714286,petrol,50063,35030,4999,90092
162,Honda,HR-V,32.723,3.6,96.0,1498.0,petrol,98588,75839,10040,184467
163,Honda,Integra,17.5296,4.6,78.4,1549.8,petrol,71122,25694,3655,100471
164,Honda,Legend,69.39699999999999,5.0,173.0,3358.666667,petrol,56758,8252,3298,68308
165,Honda,Logo,13.382,2.5,48.0,1343.0,petrol,10272,17626,1688,29586
166,Honda,Prelude,27.78966667,4.666666667,110.66666670000001,2050.333333,petrol,243474,101456,16084,361014
167,Honda,Quintet,4.968,3.5,59.0,1602.0,petrol,3050,1473,162,4685
168,Honda,S2000,55.25,6.0,177.0,1997.0,petrol,56168,15759,3919,75846
169,Honda,Shuttle,30.081,4.0,110.0,2254.0,petrol,39124,16400,3961,59485
170,Honda,Stream,27.935,5.0,103.5,1833.0,petrol,26133,13365,3092,42590
171,Hyundai,Accent,14.293,4.6,75.4,1479.0,petrol,532842,372254,40155,945251
172,Hyundai,Elantra,19.055,4.6,89.2,1827.8,petrol,39474,12121,1836,53431
173,Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,petrol,235175,272573,20387,528135
174,Hyundai,I10,16.011,5.0,51.77777778,998.0,petrol,133228,194016,11253,338497
175,Hyundai,I20,21.846999999999998,6.090909091,70.72727273,1052.272727,petrol,81875,76390,5337,163602
176,Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.6216220000001,petrol,106528,59415,5917,171860
177,Hyundai,I40,35.535,6.0,93.6,1647.4,diesel,5386,1017,191,6594
178,Hyundai,Ix20,27.4066,6.0,89.0,1552.0,petrol,10383,6561,408,17352
179,Hyundai,Ix35,38.9,5.84,113.84,1926.0,diesel,29333,16425,1282,47040
180,Hyundai,Lantra,16.4455,4.666666667,78.0,1741.0,petrol,247675,94025,12319,354019
181,Hyundai,Matrix,18.512999999999998,4.6,76.0,1599.0,petrol,96748,57263,5507,159518
182,Hyundai,Pony,10.32442857,4.1428571430000005,54.35714286,1463.857143,petrol,108926,67605,4864,181395
183,Hyundai,Santa,44.14181818,6.545454545,144.63636359999998,2242.636364,diesel,167376,69189,8970,245535
184,Hyundai,Sonata,31.7425,4.833333333,119.66666670000001,2116.0,petrol,81512,17963,3713,103188
185,Hyundai,Stellar,11.263,4.5,55.0,1597.0,petrol,41916,8631,955,51502
186,Hyundai,Terracan,44.62833333,4.333333333,127.66666670000001,3100.333333,diesel,26611,7168,753,34532
187,Hyundai,Trajet,30.351999999999997,4.4,99.0,2117.6,petrol,57865,27525,3804,89194
188,Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,petrol,72168,36008,3572,111748
189,Hyundai,Veloster,27.9925,5.5,103.0,1591.0,petrol,1821,1326,86,3233
190,Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,petrol,464919,64392,23137,552448
191,Jaguar,XE,65.56875,8.0,167.25,1998.0,petrol,699664,132524,33668,865856
192,Jaguar,XF,78.74625,8.0,176.25,1997.0,diesel,138659,14883,6015,159557
193,Jaguar,XJ,137.5695455,8.0,223.5454545,2813.0,petrol,840505,91627,36658,968790
194,Jaguar,XK,145.6466667,6.0,283.0,5000.0,petrol,177439,28043,9857,215339
195,Jaguar,XKR,171.1333333,6.0,375.0,5000.0,petrol,22692,2813,1244,26749
196,Kia,Carens,31.195,6.0,105.875,1755.75,petrol,115885,49382,5595,170862
